number oder,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,PreTest,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,Date
195,female,group C,master's degree,standard,completed,69,84,NULL,NULL,regularly,yes,1,private,6/13/2022
196,male,group D,associate's degree,standard,none,61,55,52,,sometimes,no,2,,NULL
197,male,group C,some high school,NULL,completed,59,69,65,< 5,sometimes,yes,3,school_bus,6/15/2022
198,male,group E,high school,free/reduced,none,55,56,51,10-May,sometimes,yes,3,school_bus,6/16/2022
199,female,group B,some college,free/reduced,none,45,53,55,10-May,sometimes,yes,2,school_bus,6/17/2022
200,NULL,group B,bachelor's degree,free/reduced,none,78,NULL,76,10-May,regularly,no,1,NULL,6/18/2022
201,female,group C,associate's degree,standard,completed,67,84,86,10-May,sometimes,yes,1,private,6/19/2022
202,female,group D,some college,free/reduced,none,65,81,77,10-May,regularly,no,2,private,6/20/2022
203,male,group C,associate's degree,standard,none,69,77,69,< 5,sometimes,yes,3,school_bus,6/21/2022
204,female,group B,associate's degree,NULL,none,57,69,68,< 5,regularly,no,3,,6/22/2022
205,male,group C,some college,standard,none,59,41,42,< 5,sometimes,no,2,school_bus,6/23/2022
206,male,group D,some high school,standard,completed,74,71,78,10-May,never,no,1,,6/24/2022
207,male,group E,bachelor's degree,standard,none,82,62,62,10-May,regularly,yes,4,school_bus,6/25/2022
208,male,group E,high school,standard,completed,81,80,76,> 10,sometimes,yes,0,school_bus,6/26/2022
209,female,group B,some college,free/reduced,none,74,NULL,76,10-May,sometimes,no,3,,6/27/2022
210,female,group B,some college,NULL,none,58,NULL,66,10-May,regularly,no,3,school_bus,6/28/2022
211,male,group D,some high school,free/reduced,completed,80,79,79,> 10,regularly,,3,NULL,6/29/2022
212,male,group C,some college,free/reduced,none,35,28,27,< 5,sometimes,NULL,,private,6/30/2022
213,female,group C,high school,NULL,none,42,62,NULL,10-May,sometimes,yes,5,school_bus,7/1/2022
214,male,group C,associate's degree,free/reduced,completed,60,51,56,10-May,regularly,yes,0,school_bus,7/2/2022
215,male,group E,high school,standard,completed,87,91,81,10-May,sometimes,no,4,school_bus,7/3/2022
216,male,group B,some high school,standard,completed,84,83,75,> 10,regularly,yes,3,school_bus,7/4/2022
217,female,group E,associate's degree,free/reduced,completed,83,86,88,10-May,regularly,yes,0,,7/5/2022
218,female,group C,high school,free/reduced,none,34,42,39,10-May,regularly,,1,private,7/6/2022
219,male,group B,high school,free/reduced,none,66,77,70,10-May,sometimes,yes,2,school_bus,7/7/2022
220,male,group B,some high school,standard,completed,61,56,56,> 10,sometimes,yes,3,school_bus,7/8/2022
221,female,group D,high school,standard,completed,56,68,74,> 10,sometimes,no,3,school_bus,7/9/2022
222,male,group B,associate's degree,NULL,none,87,85,73,> 10,regularly,no,1,school_bus,7/10/2022
223,female,group C,some high school,free/reduced,none,55,65,62,< 5,NULL,no,2,school_bus,7/11/2022
224,male,group D,some high school,standard,none,86,80,75,< 5,sometimes,yes,4,school_bus,7/12/2022
225,female,group B,associate's degree,standard,completed,52,66,73,> 10,regularly,yes,2,private,7/13/2022
226,female,group E,master's degree,free/reduced,none,45,56,54,10-May,sometimes,yes,1,private,7/14/2022
227,female,group C,some college,standard,none,72,72,71,> 10,,yes,1,private,7/15/2022
228,male,group D,high school,standard,none,57,50,54,10-May,regularly,no,4,private,7/16/2022
229,male,group A,some high school,free/reduced,none,NULL,72,64,< 5,regularly,no,2,school_bus,7/17/2022
230,female,group C,some college,standard,completed,NULL,95,94,< 5,regularly,yes,1,school_bus,7/18/2022
231,male,group D,some college,standard,none,76,64,66,< 5,sometimes,no,3,private,7/19/2022
232,male,group C,associate's degree,standard,none,46,43,42,10-May,regularly,no,2,school_bus,7/20/2022
233,female,group B,bachelor's degree,standard,none,67,86,NULL,10-May,sometimes,yes,1,private,7/21/2022
234,male,group E,some high school,standard,none,92,87,78,< 5,NULL,yes,2,private,7/22/2022
235,male,group C,bachelor's degree,standard,completed,83,82,84,> 10,sometimes,no,2,school_bus,7/23/2022
236,male,group D,associate's degree,standard,none,80,75,77,10-May,sometimes,yes,2,school_bus,7/24/2022
237,male,group D,bachelor's degree,free/reduced,none,63,66,67,< 5,regularly,,4,school_bus,7/25/2022
238,female,group D,some high school,NULL,completed,64,60,74,10-May,sometimes,yes,3,private,7/26/2022
239,male,group B,some college,standard,none,54,52,51,,sometimes,no,3,school_bus,7/27/2022
240,male,group C,NULL,standard,none,84,80,80,10-May,sometimes,yes,0,private,7/28/2022
241,male,group D,high school,free/reduced,completed,73,68,66,10-May,sometimes,no,1,school_bus,7/29/2022
242,female,group E,bachelor's degree,standard,none,80,83,83,< 5,sometimes,no,5,private,7/30/2022
243,female,group D,high school,standard,none,56,52,55,10-May,regularly,,1,school_bus,7/31/2022
244,male,group E,some college,NULL,none,59,51,43,> 10,sometimes,yes,1,private,8/1/2022
245,male,group D,some high school,standard,none,75,74,69,10-May,sometimes,no,2,school_bus,8/2/2022
246,NULL,group C,associate's degree,standard,none,85,76,71,10-May,regularly,no,2,private,8/3/2022
247,male,group E,associate's degree,standard,none,89,76,74,10-May,sometimes,yes,1,private,8/4/2022
248,female,group B,high school,standard,completed,58,70,68,10-May,sometimes,no,2,private,8/5/2022
249,female,group B,high school,standard,none,65,64,62,< 5,sometimes,no,1,school_bus,8/6/2022
250,male,group C,NULL,standard,none,68,60,53,< 5,sometimes,no,2,school_bus,8/7/2022
251,male,group A,some high school,NULL,completed,47,49,49,10-May,regularly,no,3,school_bus,8/8/2022
252,female,group D,some college,NULL,none,71,83,83,> 10,regularly,yes,5,school_bus,8/9/2022
253,female,group B,some high school,standard,completed,60,70,70,,sometimes,no,2,school_bus,8/10/2022
254,male,group D,master's degree,standard,none,80,80,72,10-May,sometimes,yes,2,school_bus,8/11/2022
255,male,group D,NULL,standard,none,54,52,52,< 5,regularly,yes,1,,8/12/2022
256,female,group E,some college,standard,none,62,73,70,10-May,regularly,yes,2,private,8/13/2022
257,female,group C,associate's degree,free/reduced,none,64,73,68,10-May,sometimes,no,2,private,8/14/2022
258,male,group C,associate's degree,standard,completed,78,77,77,< 5,,yes,1,school_bus,NULL
259,female,group B,some college,standard,none,70,75,78,10-May,sometimes,no,3,school_bus,8/16/2022
260,female,group C,master's degree,free/reduced,completed,65,81,81,< 5,sometimes,yes,3,private,8/17/2022
261,female,group C,some high school,free/reduced,completed,NULL,79,77,NULL,sometimes,no,4,school_bus,8/18/2022
262,male,group C,some college,standard,completed,NULL,79,78,10-May,sometimes,yes,1,school_bus,8/19/2022
263,female,NULL,some high school,free/reduced,none,44,50,51,10-May,sometimes,no,2,school_bus,8/20/2022
264,female,group E,high school,standard,none,99,93,90,10-May,sometimes,no,,private,8/21/2022
265,male,group D,high school,standard,none,76,73,68,10-May,regularly,no,3,school_bus,8/22/2022
266,male,group D,some high school,free/reduced,none,59,42,41,10-May,never,yes,2,school_bus,8/23/2022
267,female,group C,bachelor's degree,standard,none,63,75,81,< 5,regularly,yes,0,private,8/24/2022
268,female,group D,high school,standard,none,69,72,77,10-May,never,yes,3,school_bus,8/25/2022
269,female,group D,associate's degree,standard,completed,88,92,95,10-May,regularly,yes,0,private,8/26/2022
270,female,group E,some college,free/reduced,none,71,76,70,< 5,sometimes,no,1,school_bus,8/27/2022
271,male,group C,bachelor's degree,standard,none,69,63,61,< 5,sometimes,yes,0,,8/28/2022
272,NULL,group C,some college,standard,none,58,49,NULL,> 10,sometimes,yes,1,school_bus,8/29/2022
273,NULL,group D,associate's degree,free/reduced,none,47,53,58,10-May,NULL,no,2,school_bus,8/30/2022
274,female,group D,some college,standard,none,65,70,71,< 5,sometimes,yes,2,private,8/31/2022
275,male,group B,some college,standard,completed,88,85,76,10-May,never,yes,1,private,NULL
276,male,group C,NULL,standard,none,83,78,73,NULL,sometimes,yes,,school_bus,9/2/2022
277,female,group C,some high school,standard,completed,85,92,93,10-May,regularly,yes,NULL,school_bus,9/3/2022
278,female,group E,high school,standard,completed,59,63,75,> 10,never,yes,1,school_bus,9/4/2022
279,female,group C,some high school,free/reduced,none,65,86,80,10-May,regularly,no,2,school_bus,9/5/2022
280,male,group B,bachelor's degree,free/reduced,none,73,56,57,10-May,regularly,no,1,school_bus,9/6/2022
281,male,group D,high school,standard,none,53,52,42,NULL,regularly,no,2,private,9/7/2022
282,male,group D,high school,standard,none,45,48,46,NULL,regularly,no,NULL,,9/8/2022
283,female,group D,bachelor's degree,free/reduced,none,73,79,84,< 5,never,yes,2,private,9/9/2022
284,female,group D,some college,free/reduced,completed,70,78,78,< 5,regularly,no,4,school_bus,9/10/2022
285,female,group B,some high school,standard,none,37,46,46,> 10,never,yes,5,school_bus,9/11/2022
286,male,group B,associate's degree,standard,completed,81,82,82,10-May,regularly,yes,1,school_bus,9/12/2022
287,male,group E,associate's degree,standard,completed,97,NULL,88,10-May,regularly,yes,2,school_bus,9/13/2022
288,female,group B,some high school,NULL,none,67,89,82,10-May,sometimes,yes,7,private,9/14/2022
289,male,group B,bachelor's degree,free/reduced,none,88,75,76,10-May,regularly,yes,5,private,9/15/2022
290,male,group E,some high school,standard,completed,77,76,77,10-May,regularly,no,2,,9/16/2022
291,male,group C,NULL,standard,NULL,76,70,68,NULL,regularly,NULL,3,private,9/17/2022
292,male,group D,some high school,standard,none,86,73,70,< 5,regularly,NULL,5,,9/18/2022
